Diptera_family;Diptera_species;Species_authors_diptera;Species_authors_galls;Sampling_year;Genus/Species_host_plant_adjusted;Genus/Species_host_plant_original_paper;Host_plant_family;Site_states;Site_municipality ;Study_location;Vegetation_type;Complete_references;;;;;;;;;;;;;
Cecidomyiidae;Lopesia spinosa Maia, 2004;Maia, 2004;"Maia, 2004; Ribeiro, Balbi and Urso-Guimarães, 2019; Urso-Guimarães, 2019a";2004;Croton floribundus Spreng. ;NA;Euphorbiaceae;Minas Gerais ;Tiradentes;Serra de São José;Cerrado;"Maia, V.C. 2004. A new genus and six new species of gall midges (Diptera,Cecidomyiidae) from Serra de São José (Minas Gerais State), Brazil). Arquivos do Museu Nacional 62: 69?82.; 2.; Ribeiro, A. N., M. I. P. A. Balbi, and M. V. Urso-Guimarães. 2019. Characterization of insect galls from natural vegetation area in Altinópolis, São Paulo State, Brazil. Papéis Avulsos De Zoologia 59, e20195904.; Urso-Guimarães, M.V. 2019a. Description of the larva of Lopesia spinosa Maia (Diptera, Cecidomyiidae) and new occurrences of the species. Rev. Brasil. Entomol. https://doi.org/10.1016/j.rbe.2019.03.003
";;;;;;;;;;;;;
Cecidomyiidae;Lopesia tibouchinae Maia, 2004;Maia, 2004;Maia, 2004;2004;Pleroma candolleanum (Mart. ex DC.) Triana;Tibouchina candolleana (Mart. ex DC.) Cogn.;Melastomataceae;Minas Gerais ;Tiradentes;Serra de São José;Cerrado;Maia, V.C. 2004. A new genus and six new species of gall midges (Diptera,Cecidomyiidae) from Serra de São José (Minas Gerais State), Brazil). Arquivos do Museu Nacional 62: 69?82.;;;;;;;;;;;;;
Cecidomyiidae;Machaeriobia machaerii (Kieffer, 1913i);Kieffer, 1913;Urso-Guimarães, 2018b;1913, 2018;Machaerium hirtum (Vell.) Stellfeld ;NA;Fabaceae;Santa Catarina, São Paulo;"Tubarão; Ribeirão Preto";NA;Transição caatinga-cerrado;Urso-Guimarães, M. V. 2018b. New record of Machaeriobia machaerii (Kieffer, 1913) (Diptera, Cecidomyiidae) in Brazil and association with host-plant species. Revista Brasileira de Entomologia 62: 87-89.;;;;;;;;;;;;;
Cecidomyiidae;Meunieriella spinosa Urso-Guimarães, 2018;Urso-Guimarães, 2018b;Urso-Guimarães, 2018c;2018;Inga edulis Mart. ;NA;Fabaceae;Minas Gerais;Delfinópolis;NA;Cerrado;Urso-Guimarães, M. V. 2018c. Two new species of the tribe Alycaulini (Diptera: Cecidomyiidae) from Brazil. Florida Entomologist 101: 603-611.;;;;;;;;;;;;;
Cecidomyiidae;Myrciamyia pterandrae Maia & Flor, 2018;Maia & Flor, 2018;Maia, Flor & Oliveira, 2018;2018;Pterandra pyroidea A. Juss. ;NA;Malpighiaceae;Minas Gerais ;Quartel São João;NA;Cerrado;Maia, V. C., I. C. Flor, and L. A. Oliveira 2018. Myrciamyia pterandrae (Diptera, Cecidomyiidae, Lopesiini), a new species of gall midge associated with Pterandra pyroidea A. Juss. (Malpighiaceae), an endemic plant in Brazilian Cerrado. Revista Brasileira de Entomologia 62 (3): 220-224.;;;;;;;;;;;;;
Cecidomyiidae;Myrciariamyia admirabilis Maia, 2007;Maia, 2007;Maia & Fernandes, 2007 ;2007;Erythroxylum suberosum A.St.-Hil.;NA;Erythroxylaceae;Minas Gerais ;Tiradentes;Serra de São José, Cerrado de Pé-de-Gigante;Cerrado;Maia, V.C. and G. W. Fernandes.  2007. Myrciariamyia admirabilis, a new species of gall midge (Diptera, Cecidomyiidae) associated with Erythroxylum suberosum (Erythroxylaceae). Zootaxa 1554: 41-48.;;;;;;;;;;;;;
Cecidomyiidae;Myrciariamyia fernandesi Maia, 2004;Maia, 2004;Maia, 2004;2004;Myrciaria tenella (DC.) O.Berg;NA;Myrtaceae;Minas Gerais ;Tiradentes;Serra de São José;Cerrado;Maia, V.C. 2004. A new genus and six new species of gall midges (Diptera,Cecidomyiidae) from Serra de São José (Minas Gerais State), Brazil). Arquivos do Museu Nacional 62: 69?82.;;;;;;;;;;;;;
Cecidomyiidae;Parametasphondylia piperis Maia & Santos, 2007 ;Maia & Santos, 2007;Maia & Santos, 2007;2007;Piper sp. ;NA;Piperaceae;Minas Gerais ;Tiradentes;Serra de São José;Cerrado;Maia, V. C. and B. O. Santos. 2007. Um novo gênero e espécie de Schizomyiina (Diptera, Cedidomyiidae) associados com Piperaceae no Brasil. Iheringia, Série Zoologia 97 (2): 137-142. ;;;;;;;;;;;;;
Cecidomyiidae;Rochadiplosis tibouchinae Tavares, 1917;Tavares, 1917;"Tavares, 1917; Ribeiro, Balbi & Urso-Guimarães, 2019";1917;Tibouchina sp.;NA;Melastomataceae;Rio de Janeiro, São Paulo ;"Petropolis, Tijuca, & Nova Friburgo; Ribeirão Preto"; Campus Ribeirão Preto - Universidade de São Paulo;Mata atlântica, cerrado;"Tavares, J.S. 1917. Cecídias brazileiras que se criam em plantas das famílias das Compositae, Rubiaceae, Tiliaceae, Lythraceae e Artocarpaceae. Brotéria, Série Zoológica 15: 113-181, pls. VI–XI.; Ribeiro, A. N., M. I. P. A. Balbi, and M. V. Urso-Guimarães. 2019. Characterization of insect galls from natural vegetation area in Altinópolis, São Paulo State, Brazil. Papéis Avulsos De Zoologia 59, e20195904.";;;;;;;;;;;;;
Cecidomyiidae;Schizomyia macrocapillata Maia, 2005;Maia, 2005b;Maia & Fernandes, 2005;2005;Bauhinia brevipes Vogel;NA;Fabaceae;Minas Gerais;Três Marias;NA;Cerrado;Maia, V.C. and G. W. Fernandes. 2005b. Two new species of Asphondyliini (Diptera: Cecidomyiidae) associated with Bauhinea brevipes (Fabaceae). Zootaxa 1091: 27-40.;;;;;;;;;;;;;
Cecidomyiidae;Schizomyia tuiuiu Urso-Guimarães & Amorim, 2002;Urso-Guimarães & Amorim, 2002;"Urso-Guimarães & Amorim, 2002; Urso-Guimarães 2019b";2002;Bauhinia rufa (Bong.) Steud. ;NA;Fabaceae;Mato Grosso;Cuiabá;Universidade Federal de Mato Grosso;Cerrado;"Urso-Guimaraes, M.V. and D. S. Amorim. 2002. New Brazilian species of Asphondyliini (Diptera,Cecidomyiidae). Revista Brasileira de Entomologia 46: 561–570; Urso-Guimarães, M.V. 2019b. Description of the male and larva of Schizomyia tuiuiu Urso-Guimarães & Amorim (Diptera, Cecidomyiidae), new records and a key to Neotropical species of Schizomyia Kieffer. Iheringia, Sér. Zool. vol.109 Porto Alegre 2019 http://dx.doi.org/10.1590/1678-4766e2019017";;;;;;;;;;;;;
Tephritidae;Tomoplagia rudolphi (Lutz & Lima, 1918);Lutz & Lima, 1918;"Lutz & Lima, 1918; Urso-Guimarães, Scareli-Santos & Bonifacio, 2003; Savaris, M., Luz, L., Lorini, L.M. & Lampert, S. 2019";2003, 2019;Vernonia polyanthes (Spreng.) Less.;NA;Asteraceae;Minas Gerais, São Paulo  ;"Delfinópolis; Piracicaba";Estância Carmen Lúcia;Cerrado;"Lutz, A. and A. M. C. Lima. 1918. Contribuição para o estudo das Tripaneidas (moscas de frutas) brasileiras. Memórias do Instituto Oswaldo Cruz 10:5-15; Urso-Guimarães, M. V., C. Scareli-Santos, and A. C. Bonifácio-Silva. 2003. Occurrrence and characterization of entomogen galls in plants from natural vegetation areas in Delfinópolis, MG, Brazil. Brazilian Journal of Biology 63(4): 705-715.";;;;;;;;;;;;;
Cecidomyiidae;Youngomyia matogrossensis Proença & Maia, 2019;Proença & Maia, 2019;Proença & Maia, 2019;2019;Pouteria torta (Mart.) Radlk. ;NA;Sapotaceae;Mato Grosso;Chapada dos Guimarães;Parque Nacional da Chapada dos Guimarães;Cerrado;Proença, B. and V. C. Maia. 2019. A new species of Youngomyia Felt from Brazil and new morphological dataon Youngomyia pouteriae Maia (Insecta, Diptera, Cecidomyiidae). Revista Brasileira de  Entomologia 63(2): 130-135.;;;;;;;;;;;;;
Cecidomyiidae;Youngomyia pouteriae Maia, 2001;Maia, 2001;"Maia, 2001; Urso-Guimarães & Scarelli-Santos, 2006; Urso-Guimarães, Castello, Kataoka & Koch, 2017";2001, 2006, 2017;"Pouteria caimito (Ruiz & Pav.) Radlk.; P. torta (Mart.) Radlk.";NA;Sapotaceae;Rio de Janeiro, São Paulo, Mato Grosso;"Maricá; Santa Rita do passa Quatro; Chapada dos Guimarães";Restinga Barra de Maricá, Parque Estadual Vassununga, Parque Nacional da Chapada dos Guimarães;Restinga, cerrado;"Maia, V.C. 2001. The gall midges (Diptera, Cecidomyiidae) from three restingas of Rio de Janeiro State, Brazil. Revista Brasileira de Zoologia 18(2):583-629.; Urso-Guimarães, M.V. and C. Scareli-Santos. 2006. Galls and Gall makers in plants from the Pé-de-Gigante Cerrado Reserve, Santa Rita do Passa Quatro, SP, Brazil. Brazilian Journal of Biology 66(1b):357-369.; Urso-Guimarães, M. V., A. C. D. Castelo, E. Kataoka, and I. Koch. 2017. Characterization of entomogen galls from Mato Grosso do Sul, Brazil. Revista Brasileira de Entomologia 61(1):25–42.";;;;;;;;;;;;;
Cecidomyiidae;Zalepidota ituensis (Tavares, 1917);Tavares, 1917;Tavares, 1917;1917;Porophyllum sp. ;NA;Asteraceae;São Paulo ;Salto de Itu;NA;Cerrado;Tavares, J.S. 1917. Cecídias brazileiras que se criam em plantas das famílias das Compositae, Rubiaceae, Tiliaceae, Lythraceae e Artocarpaceae. Brotéria, Série Zoológica 15: 113–181, pls. VI–XI.;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
